state,need_units,allocated_units,coverage_%
Assam,2554.0,0,0.0
Gujarat,2585.0,0,0.0
Karnataka,2050.0,0,0.0
Kerala,1953.0,0,0.0
Maharashtra,2664.0,0,0.0
Uttarakhand,1637.0,0,0.0
West Bengal,3925.0,0,0.0
Bihar,1616.0,785,48.6
Uttar Pradesh,1378.0,1378,100.0
Himachal Pradesh,1002.0,1002,100.0
Telangana,946.0,946,100.0
Jammu & Kashmir,706.0,706,100.0
Andhra Pradesh,481.0,481,100.0
Madhya Pradesh,440.0,440,100.0
Rajasthan,420.0,420,100.0
Tamil Nadu,280.0,280,100.0
Punjab,240.0,240,100.0
Mizoram,229.0,229,100.0
Odisha,132.0,132,100.0
Arunachal Pradesh,123.0,123,100.0
Delhi,107.0,107,100.0
Meghalaya,102.0,102,100.0
Haryana ,79.0,79,100.0
Chhattisgarh,70.0,70,100.0
Nagaland,70.0,70,100.0
Sikkim,69.0,69,100.0
Jharkhand,50.0,50,100.0
Ladakh,50.0,50,100.0
Goa,30.0,30,100.0
Chandigarh ,10.0,10,100.0
